Country,Dimension 1: Political Rights and Safety,Dimension 2: Financial and Health Protections,Dimension 3: Protection for the Most Vulnerable,Dimension 4: Conflict,Mean Vulnerability ,POPULATION,ESTIMATED PROPORTION OF POPULATION IN MODERN SLAVERY,ESTIMATED NUMBER IN MODERN SLAVERY,GOVERNMENT RESPONSE RANK,Milestone 1: Victims are supported to exit slavery (/32),Milestone 1: Victims are supported to exit slavery (%),Milestone 2: Criminal justice responses (/21),Milestone 2: Criminal justice responses (%),Milestone 3: Coordination and accountability (/14),Milestone 3: Coordination and accountability (%),Milestone 4: Addressing risk (/25),Milestone 4: Addressing risk (%),Milestone 5: Investigating supply chains (/7),Milestone 5: Investigating supply chains (%),Total score (/100),Corruption or state sanctioned forced labour score (/-2),Total score (AA - AC),CREDIT rating,EUROPE,AMERICAS,ASIA,SUBSAHARAN AFRICA,RUSSIA AND EURASIA,MIDDLE EAST AND NORTH AFRICA
Uzbekistan,74.62,28.35,32.09,12.14,36.8,31125000,3.97,1236600,130,7.8,24.3,5.1,23.7,2.7,18.8,13.1,52.4,0,0,28.7,-2,26.7,CC,0,0,0,0,1,0
Vietnam,51.19,29.94,35.22,1,29.34,91519000,0.15,139300,60,14.5,45.2,7.3,34.1,8.9,62.5,16.7,66.7,0,0,47.4,-2,45.4,B,0,0,1,0,0,0
Yemen,75.01,51.3,54.67,62.28,60.81,26832000,1.13,303200,0,,,,,,,,,,,,,,,0,0,0,0,0,1
Zambia,45.1,58.76,50.03,24.46,44.59,16212000,0.67,109300,105,10.9,33.9,6.4,29.8,6.3,43.8,9.5,38.1,0,0,33.1,0,33.1,CCC,0,0,0,1,0,0
Zimbabwe,60.28,52.25,48.92,26.78,47.06,15603000,0.64,99600,147,4.9,15.4,4.4,20.6,1.8,12.5,10.7,42.9,0,0,21.8,-1,20.8,CC,0,0,0,1,0,0
Argentina,35.63,18.5,34.04,25.36,28.38,43417000,0.4,175500,12,15.8,49.3,12.8,59.8,12.5,87.5,19.6,78.6,0,0,60.8,-1,59.8,BB,0,1,0,0,0,0
Barbados,39.7,15.41,67,1,30.78,284000,0.21,600,94,12.7,39.4,6.3,29.3,7.1,50,9.5,38.1,0,0,35.6,-1,34.6,CCC,0,1,0,0,0,0
Bolivia,49.71,32.08,38.69,16.57,34.26,10725000,0.44,46900,92,5.7,17.6,7.9,36.7,7.1,50,14.3,57.1,0,0,34.9,0,34.9,CCC,0,1,0,0,0,0
Brazil,37.98,20.46,45.88,30.74,33.77,207848000,0.08,161100,17,14.6,45.6,7.4,34.4,12.5,87.5,19.6,78.6,2.7,37.5,56.8,0,56.8,BB,0,1,0,0,0,0
Canada,17.59,23.64,15.48,36.11,23.21,35871000,0.02,6500,16,18.5,57.4,14.7,68.5,8.9,62.5,16.1,64.3,0,0,58.1,0,58.1,BB,0,1,0,0,0,0
Chile,31.23,19.73,34.26,31.37,29.15,17948000,0.15,27700,44,14.3,44.6,11.3,52.6,7.1,50,17.3,69,0,0,50,-1,49,B,0,1,0,0,0,0
Colombia,51.72,26.54,46.78,43.49,42.13,48229000,0.64,308200,48,14.2,44.1,9,41.9,6.3,43.8,18.5,73.8,0,0,47.8,0,47.8,B,0,1,0,0,0,0
Costa Rica,36.35,24.4,33.82,23.97,29.64,4808000,0.4,19400,38,18.2,56.5,9.8,45.6,5.4,37.5,17.9,71.4,0,0,51.1,0,51.1,BB,0,1,0,0,0,0
Cuba,53.6,26.6,34,13.99,32.05,11390000,0.33,37800,143,8,25,3.8,17.8,1.8,12.5,9.5,38.1,0,0,23.2,-1,22.2,CC,0,1,0,0,0,0
Dominican Republic,47.97,33.84,46.38,24.33,38.13,10528000,1,104800,35,15.8,49.3,12.7,59.1,8.9,62.5,16.1,64.3,0,0,53.5,-1,52.5,BB,0,1,0,0,0,0
Ecuador,43.69,29.23,37.74,29.98,35.16,16144000,0.4,65300,59,12,37.2,13.3,62.2,3.6,25,17.9,71.4,0,0,46.7,-1,45.7,B,0,1,0,0,0,0
El Salvador,49.88,29.58,53.68,8.78,35.48,6127000,0.29,18100,85,10.6,33,6.2,28.9,7.1,50,14.3,57.1,0,0,38.2,-1,37.2,CCC,0,1,0,0,0,0
Guatemala,48.75,34.25,57.12,20.33,40.11,16343000,0.84,138100,53,12.1,37.6,11,51.5,8,56.3,16.1,64.3,0,0,47.2,0,47.2,B,0,1,0,0,0,0
Guyana,39.35,25.57,83.5,5.81,38.56,767000,0.62,4800,93,8.3,25.7,10.9,50.7,3.6,25,13.1,52.4,0,0,35.8,-1,34.8,CCC,0,1,0,0,0,0
Haiti,57.68,56.2,58.13,2.6,43.65,10711000,1,106600,108,10.8,33.5,8,37.2,7.1,50,7.1,28.6,0,0,33,-1,32,CCC,0,1,0,0,0,0
Honduras,53.76,34.82,60.12,16.38,41.27,8075000,0.29,23800,100,7.9,24.6,6.8,31.7,5.4,37.5,14.9,59.5,0,0,34.9,-1,33.9,CCC,0,1,0,0,0,0
Jamaica,43.21,30.91,46.13,8.68,32.24,2734000,0.21,5800,33,15.4,47.8,13.3,61.9,11.6,81.3,13.7,54.8,0,0,53.9,-1,52.9,BB,0,1,0,0,0,0
Mexico,43.03,30.36,52.84,61.85,47.02,127017000,0.3,376800,34,14.5,45,13.5,63.1,7.1,50,18.5,73.8,0,0,53.6,-1,52.6,BB,0,1,0,0,0,0
Nicaragua,43.53,31.92,39.79,23.67,34.73,6082000,0.4,24600,41,14.2,44.1,14.2,66.1,8,56.3,13.1,52.4,0,0,49.5,0,49.5,B,0,1,0,0,0,0
Panama,37.46,29.14,46.18,23.55,34.08,3929000,0.4,15900,80,3.8,11.9,15.7,73.1,5.4,37.5,14.3,57.1,0,0,39.1,-1,38.1,CCC,0,1,0,0,0,0
Paraguay,46.02,21.22,38.92,26.14,33.07,6639000,0.4,26800,56,11.5,35.9,11.9,55.6,5.4,37.5,19,76.2,0,0,47.9,-1,46.9,B,0,1,0,0,0,0
Peru,43.85,31.98,44.81,30.33,37.74,31377000,0.64,200500,62,15.4,47.8,6.1,28.3,8.9,62.5,15.5,61.9,0,0,45.8,-1,44.8,B,0,1,0,0,0,0
Suriname,36.66,12.35,67,38.67,38.67,543000,0.45,2500,135,6.6,20.6,4.2,19.4,4.5,31.3,10.1,40.5,0,0,25.4,0,25.4,CC,0,1,0,0,0,0
Trinidad and Tobago,35.88,14.4,67,16.26,33.38,1360000,0.45,6200,75,10,31.1,9.6,44.6,4.5,31.3,16.7,66.7,0,0,40.7,-1,39.7,CCC,0,1,0,0,0,0
United States,20.42,23.51,20.96,45.1,27.5,320821000,0.02,57700,2,31,96.3,17.1,79.6,9.8,68.8,19.6,78.6,5.4,75,82.8,0,82.8,BBB*,0,1,0,0,0,0
Uruguay,26.65,20.69,28.36,13.89,22.4,3432000,0.23,7800,47,13,40.6,9.4,43.7,6.3,43.8,19.6,78.6,0,0,48.3,0,48.3,B,0,1,0,0,0,0
Venezuela,58.82,27.75,55.42,35.94,44.48,31108000,0.64,198800,122,8,25,8.8,40.9,1.8,12.5,10.1,40.5,0,0,28.7,0,28.7,CC,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,* Those countries where governments arrested victims could not score above a BBB score. ,,,,,,,
