Country ,Population ,Region,"Est. prevalence of population in modern slavery (victims per 1,000 population)",Est. number of people in modern slavery,Factor One Governance Issues ,Factor Two Nourishment and Access ,Factor Three Inequality,Factor Four Disenfranchised Groups,Factor Five Effects of Conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,Criminal justice,%,Coordination,%,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%,Supply chains,%,SUM/104,SUM Neg,TOTAL,Credit rating
Sierra Leone,7237000,Africa,5,36000,50.9,46.1,41.2,48.1,18.1,55.2,4.8,53.7,2.3,37.8,2,50,0,0,3.8,54.8,0,0,13.5,0,46.2,B
Singapore,5535000,Asia and the Pacific,3.4,19000,30.8,16.3,5,18.7,9,13.4,3.6,40,1.3,22.2,1.3,31.3,0,0,3,42.9,0,0,9.2,0,32.8,CCC
Slovakia,5439000,Europe and Central Asia,2.9,16000,29.9,15.1,29.9,51.2,14.2,27.2,4.4,48.7,3.1,52.2,2.5,62.5,0,0,4.5,64.3,0.4,18.3,14.9,0,53.2,BB
Slovenia,2075000,Europe and Central Asia,2.2,5000,22.4,16.6,30.6,45.6,6.4,20.1,5.4,60.4,3.5,57.8,2.3,56.3,0,0,5.2,73.8,0.4,18.3,16.7,0,59.6,BB
Solomon Islands,587000,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,13908000,Africa,15.5,216000,80.6,56.8,49.6,22.7,88.4,89.5,0.7,8.1,1.2,20.6,1,25,-1,0,2.5,35.7,0,0,5.5,-1,16,C
South Africa,55291000,Africa,2.8,155000,46.7,38.3,61,36.9,26.9,53.8,4.8,53.7,3.7,61.7,1.8,43.8,-1,0,4,57.1,0,0,14.3,-1,47.4,B
South Sudan,11882000,Africa,20.5,243000,75.7,51.1,62.9,56.1,85.7,94.7,,,,,,,,,,,,,,,,
Spain,46398000,Europe and Central Asia,2.3,105000,17.2,18.3,33.5,15.1,14.2,12.8,7.1,79.3,3.9,65.6,2.5,62.5,0,0,5.2,73.8,0,0,18.7,0,66.9,BBB
Sri Lanka,20714000,Asia and the Pacific,2.1,44000,44.1,27,33.5,34.9,35.9,42.5,2.4,26.7,2.6,42.8,1,25,-1,0,5.5,78.6,0,0,11.5,-1,37.4,CCC
Sudan,38648000,Africa,12,465000,80.7,46.6,42.4,37,87.4,87.1,0.3,2.8,1.6,26.7,1,25,-1,0,2.3,33.3,0,0,5.2,-1,14.9,C
Suriname,553000,Americas,2.3,1000,55.5,10.7,50.8,28.1,16.3,42.1,2.2,24.3,0.3,5.6,1.3,31.3,0,0,3.8,54.8,0,0,7.6,0,27.1,CC
Swaziland,1319000,Africa,8.8,12000,69.9,50,39.4,38.8,11.7,64.8,3.3,36.3,1.1,18.3,1.5,37.5,0,-1,3.3,47.6,0,0,9.2,-1,29.3,CC
Sweden,9764000,Europe and Central Asia,1.6,15000,10.2,17,17.4,13,18.3,4.3,6.6,73.1,3.9,64.4,3.3,81.3,0,0,5.2,73.8,0.4,18.3,19.2,0,68.7,BBB
Switzerland,8320000,Europe and Central Asia,1.7,14000,11.6,12.2,15.2,20.1,4.9,1.5,6,66.7,3.6,60.6,1.5,37.5,0,0,5.7,81,0,0,16.8,0,60,BBB
Syrian Arab Republic,18735000,Arab States,7.3,136000,85.6,36.9,62.5,33.4,95.4,92.3,,,,,,,,,,,,,,,,
"Taiwan, China",23486000,Asia and the Pacific,0.5,12000,24.5,24.7,40.6,21.1,1.4,20.3,4.2,46.9,1.9,38.7,1,25,0,0,3,42.9,0.2,8.3,10.3,0,38.2,CCC
Tajikistan,8549000,Europe and Central Asia,4.5,39000,67.4,30.9,32.8,27.8,30.1,55.8,3.5,38.9,2.2,36.1,1.8,43.8,-1,0,2.8,40.5,0,0,10.3,-1,33,CCC
"Tanzania, United Republic of",53880000,Africa,6.2,336000,55.5,47.3,34.9,52.7,29.1,60.5,3.4,37.2,2.5,41.7,1,25,-1,0,3.3,47.6,0,0,10.2,-1,32.8,CCC
Thailand,68658000,Asia and the Pacific,8.9,610000,50.9,21.8,35.3,45.1,51.9,51.1,4.2,46.3,3.1,51.7,2.3,56.3,-1,0,5.2,73.8,0,0,14.7,-1,48.9,B
Timor-Leste,1241000,Asia and the Pacific,7.7,10000,58.4,41.9,37.2,41.2,3.9,52.8,3,33.1,1,16.7,1,25,0,0,3,42.9,0,0,8,0,28.5,CC
Togo,7417000,Africa,6.8,50000,70,31.5,45.3,42.3,17.1,61.3,2.6,28.7,1.3,21.1,1.3,31.3,0,0,1.5,21.4,0,0,6.6,0,23.6,CC
Tonga,106000,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,1360000,Americas,3,4000,38.6,13,62.4,47.8,13.7,39.1,6.1,67.2,3,50,1.3,31.3,-1,0,4.7,66.7,0,0,15,-1,49.9,B
Tunisia,11274000,Africa,2.2,25000,47.2,15.4,34.8,31.9,33.7,39.2,4.8,53,1.9,31.7,1.8,43.8,0,0,4,57.1,0,0,12.4,0,44.3,B
Turkey,78271000,Europe and Central Asia,6.5,509000,47,22.2,47,48.6,47.9,51.6,6,66.7,3.4,57.2,1.5,37.5,0,0,2.3,33.3,0,0,13.3,0,47.4,B
Turkmenistan,5565000,Europe and Central Asia,11.2,62000,80.2,21.5,31.4,32.6,15.9,58.1,1.6,17.8,2.4,40,1.3,31.3,-1,-1,4.3,61.9,0,0,9.6,-2,27.1,CC
Tuvalu,,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,40145000,Africa,7.6,304000,52.8,48.3,38.2,50.3,35.3,60.8,4.3,48.1,3.1,51.7,1.5,37.5,-1,0,3.8,54.8,0,0,12.8,-1,42,B
Ukraine,44658000,Europe and Central Asia,6.4,286000,54,15.9,46.4,39,62.2,54.4,5.9,65.7,2.8,46.1,2.5,62.5,-1,0,4.7,66.7,0,0,15.9,-1,53,BB
United Arab Emirates,9154000,Arab States,1.7,15000,47.9,15.1,24.7,7.8,11.9,26.8,5.7,63,2.5,41.1,2.3,56.3,0,0,3,42.9,0,0,13.4,0,47.8,B
United Kingdom,65397000,Europe and Central Asia,2.1,136000,15.9,15.6,25.1,12.4,27.8,11.1,7.4,82,4.3,73.9,2.5,62.5,0,0,5.2,73.8,0.5,26.7,20.2,0,71.5,BBB*
United States,319929000,Americas,1.3,403000,18.3,18.2,30.3,15.6,28.6,15.9,8.3,92.6,4.5,75.6,2.3,56.3,0,-1,4.7,66.7,1.3,65,21.1,-1,71.7,BBB*
Uruguay,3432000,Americas,1,4000,31.9,13.5,34.3,15.4,9.5,19.7,3.7,40.6,3,49.4,2,50,0,0,5.5,78.6,0,0,14.1,0,50.4,BB
Uzbekistan,30976000,Europe and Central Asia,5.2,160000,71.7,20.3,32.6,9,18,47.5,2.7,30.2,2,33.9,1.3,31.3,-1,-1,4.5,64.3,0,0,10.5,-2,30.4,CCC
Vanuatu,265000,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, Bolivarian Republic of",31155000,Americas,5.6,174000,65.1,19.7,60.4,34.3,27.8,57.9,2.1,23.3,2.6,43.9,0.5,12.5,0,-1,3.7,52.4,0,0,8.9,-1,28.2,CC
Viet Nam,93572000,Asia and the Pacific,4.5,421000,53.6,23.2,28.1,32.5,18.5,41.5,5.6,62.2,2.7,45,2.5,62.5,-1,-1,4.7,66.7,0,0,15.5,-2,48.1,B
Yemen,26916000,Arab States,3.1,85000,79.2,43.1,49.2,53,69.9,86.4,,,,,,,,,,,,,,,,
Zambia,16101000,Africa,5.7,92000,45.8,54.4,44.9,49.1,13.1,55.2,3,33.3,2.1,34.4,1,25,0,0,2.8,40.5,0,0,8.9,0,31.8,CCC
Zimbabwe,15777000,Africa,6.7,105000,66.3,45.5,36.6,53,25.3,66.4,1.1,11.7,1,17.2,1.8,43.8,-1,0,2.5,35.7,0,0,6.3,-1,19,C
