prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,disenfranchised_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,lfpr_female,lfpr_male,lfpr_total,country,population,region,corruption_score,democracy_score,gdp_per_capita,migration_rate,year
1.6,15000,10.2,17.0,17.4,13.0,18.3,4.3,6.6,3.9,3.3,5.2,0.4,68.7,81.021,84.363,82.729,Sweden,9764000.0,Europe and Central Asia,85.0,9.39,52349.293,81492.0,2018
1.7,14000,11.6,12.2,15.2,20.1,4.9,1.5,6.0,3.6,1.5,5.7,0.0,60.0,79.717,88.264,84.04,Switzerland,8320000.0,Europe and Central Asia,85.0,9.03,69629.336,40899.0,2018
4.5,39000,67.4,30.9,32.8,27.8,30.1,55.8,3.5,2.2,1.8,2.8,0.0,33.0,32.757,52.92,42.792,Tajikistan,8549000.0,Europe and Central Asia,25.0,1.93,3405.1135,-10135.0,2018
8.9,610000,50.9,21.8,35.3,45.1,51.9,51.1,4.2,3.1,2.3,5.2,0.0,48.9,67.828,83.186,75.347,Thailand,68658000.0,Asia and the Pacific,36.0,4.63,17669.045,9304.0,2018
7.7,10000,58.4,41.9,37.2,41.2,3.9,52.8,3.0,1.0,1.0,3.0,0.0,28.5,62.126,72.918,67.621,Timor-Leste,1241000.0,Asia and the Pacific,35.0,5.96,14209.593,-5352.0,2018
6.8,50000,70.0,31.5,45.3,42.3,17.1,61.3,2.6,1.3,1.3,1.5,0.0,23.6,56.922,60.796,58.868,Togo,7417000.0,Africa,30.0,3.1,2014.9418,-1997.0,2018
3.0,4000,38.6,13.0,62.4,47.8,13.7,39.1,6.1,3.0,1.3,4.7,0.0,49.9,55.57,73.92,64.726,Trinidad and Tobago,1360000.0,Americas,41.0,7.16,25864.945,35502.0,2018
2.2,25000,47.2,15.4,34.8,31.9,33.7,39.2,4.8,1.9,1.8,4.0,0.0,44.3,29.702,74.464,51.733,Tunisia,11274000.0,Africa,43.0,6.41,11046.682,-21013.0,2018
11.2,62000,80.2,21.5,31.4,32.6,15.9,58.1,1.6,2.4,1.3,4.3,0.0,27.1,52.474,48.832,50.679,Turkmenistan,5565000.0,Europe and Central Asia,20.0,1.72,14321.14,-9614.0,2018
2.1,136000,15.9,15.6,25.1,12.4,27.8,11.1,7.4,4.3,2.5,5.2,0.5,71.5,73.694,82.558,78.117,UK,65397000.0,Europe and Central Asia,80.0,8.53,46412.54,230577.0,2018
1.3,403000,18.3,18.2,30.3,15.6,28.6,15.9,8.3,4.5,2.3,4.7,1.3,71.7,66.97,77.805,72.401,USA,319929000.0,Americas,71.0,7.96,61348.457,1200796.0,2018
7.6,304000,52.8,48.3,38.2,50.3,35.3,60.8,4.3,3.1,1.5,3.8,0.0,42.0,68.291,73.523,70.853,Uganda,40145000.0,Africa,26.0,5.2,2186.9072,60723.0,2018
6.4,286000,54.0,15.9,46.4,39.0,62.2,54.4,5.9,2.8,2.5,4.7,0.0,53.0,63.086,73.6,68.163,Ukraine,44658000.0,Europe and Central Asia,32.0,5.69,12336.927,-33273.0,2018
1.7,15000,47.9,15.1,24.7,7.8,11.9,26.8,5.7,2.5,2.3,3.0,0.0,47.8,54.39,92.964,82.864,United Arab Emirates,9154000.0,Arab States,70.0,2.76,71550.555,-8582.0,2018
1.0,4000,31.9,13.5,34.3,15.4,9.5,19.7,3.7,3.0,2.0,5.5,0.0,50.4,68.946,81.195,75.041,Uruguay,3432000.0,Americas,70.0,8.38,23388.129,-2963.0,2018
5.2,160000,71.7,20.3,32.6,9.0,18.0,47.5,2.7,2.0,1.3,4.5,0.0,30.4,43.497,77.553,60.509,Uzbekistan,30976000.0,Europe and Central Asia,23.0,2.01,7118.2036,-60066.0,2018
3.1,85000,79.2,43.1,49.2,53.0,69.9,86.4,3.9,2.7,1.8,3.8,0.0,40.9,59.592,77.553,69.035,Yemen,26916000.0,Arab States,14.0,1.95,14209.593,-2010.5,2018
5.7,92000,45.8,54.4,44.9,49.1,13.1,55.2,3.0,2.1,1.0,2.8,0.0,31.8,52.191,65.33,58.644,Zambia,16101000.0,Africa,35.0,5.61,3425.949,18019.0,2018
6.7,105000,66.3,45.5,36.6,53.0,25.3,66.4,1.1,1.0,1.8,2.5,0.0,19.0,61.948,73.188,67.052,Zimbabwe,15777000.0,Africa,22.0,3.16,2399.6216,-59918.0,2018
